respondent_id,xyz_vaccine,seasonal_vaccine
0,0.03605044654067826,0.06470062611872314
1,0.2821120414994213,0.17891658575015043
2,0.03606536685838899,0.12418266458234463
3,0.08863748310081135,0.9022419578056221
4,0.06052581420424202,0.07804561769712946
5,0.21881553184279215,0.8430444377056918
6,0.0782625879116015,0.3432795942935241
7,0.5218213017789223,0.4118327698165104
8,0.06494736289292737,0.33889162929149946
9,0.09637919389495911,0.427128183521415
10,0.04725458654830523,0.6201480276312727
11,0.07719802974388401,0.35264218597860186
12,0.05605356342848351,0.9066513963498595
13,0.02920100577920203,0.240172326767825
14,0.3343264449609404,0.6379176683401669
15,0.06685292598287242,0.04440636000347145
16,0.2643078073423339,0.8768885675919412
17,0.08572450061577225,0.2937606149290819
18,0.7119564836108399,0.8860700245619969
19,0.11162578929053682,0.5371219305125369
20,0.3533373387934334,0.33752630725090965
21,0.42509088709323606,0.4465548470467872
22,0.3245554872933776,0.21962799715647377
23,0.2140252827762655,0.2261895379340178
24,0.12010548940630318,0.05494506956333426
25,0.062048181348963824,0.3051802146601404
26,0.21289834438575955,0.7215689946785251
27,0.10899653413122462,0.24520078513494392
28,0.014234138083917379,0.08743988436239644
29,0.17951434264736085,0.3399633048263953
30,0.06361264244329534,0.2849408456115191
31,0.09842483664631782,0.1355689985769786
32,0.0829246848602694,0.23951440066316018
33,0.7287850900902311,0.592510616500502
34,0.14155061445055658,0.18971131233558564
35,0.5280820458012677,0.408938868183163
36,0.10039606586726378,0.3754935943361577
37,0.05496983775767638,0.1487640341523166
38,0.24435414237921493,0.5544719541159634
39,0.43653663506076806,0.9240086191860605
40,0.23248360695322265,0.43132918601571674
41,0.4025562314014367,0.8228583417995716
42,0.03901778416458102,0.0520163517976204
43,0.2244387913953299,0.06282879496414241
44,0.05197066327369673,0.16341520363231432
45,0.02897935358711532,0.2872796481908921
46,0.22170920829061405,0.3318396492339596
47,0.20294231134007742,0.18500032855051135
48,0.33158488392936863,0.774268112054038
49,0.27375912683317083,0.5084958180379415
50,0.1862416514471183,0.4779186495459122
51,0.08700627055178924,0.764670529528536
52,0.09923913075557668,0.25120612187944613
53,0.1301912830480551,0.4756968235465235
54,0.06332192362084182,0.26830261604937156
55,0.1114492801419905,0.3540693321222142
56,0.10727481904179001,0.9398796981424875
57,0.1003414476826497,0.7254111713199167
58,0.10295907677991423,0.3317056445583637
59,0.037789349329088784,0.08067670025287467
60,0.6124507202725347,0.8470946326722213
61,0.05919973260727114,0.3651375328705317
62,0.04491573737578133,0.22760946157583267
63,0.5474390526806844,0.5698229862772187
64,0.05960222005379983,0.1611713937357622
65,0.03967554268420339,0.21436312195750823
66,0.0802672500053376,0.07427417092018306
67,0.34552251041145826,0.4880682570239835
68,0.09171926718082464,0.6803757594197672
69,0.07690437850153081,0.632633774776117
70,0.048733684561764565,0.18648249192086946
71,0.3225927542472913,0.9250656317499956
72,0.1540804763552069,0.392769140671282
73,0.22950532998763068,0.9566679487888132
74,0.6401918376396186,0.49897016521029347
75,0.6084054210203462,0.6615304771472551
76,0.1009012650146992,0.7682965812739406
77,0.20234635427075412,0.785473118019311
78,0.2747014940055963,0.7173327939268677
79,0.27658693016708663,0.9096563112812333
80,0.06577623193852913,0.2316705398062124
81,0.07398658541374976,0.5359916595959932
82,0.4283204764858658,0.6814377873659856
83,0.414339379705123,0.5174849563853368
84,0.73102367652026,0.9600975468410351
85,0.5555499108370237,0.8673672664907053
86,0.04637234306287427,0.13882779563244452
87,0.08667308286061853,0.2393125419748192
88,0.06405542372979954,0.34675792601895156
89,0.04844888550794189,0.09402843849184997
90,0.15939892422728824,0.20281260000031712
91,0.1754616208161991,0.6588122783771166
92,0.015580630333844773,0.10793392050475509
93,0.2960510778757825,0.5889325169479068
94,0.28899281607720295,0.8069557928280843
95,0.4309579032041849,0.20120429160351522
96,0.7742242411388035,0.9229544615845131
97,0.17822571654366678,0.8247000294687746
98,0.23397670407808027,0.05427949169516331
99,0.13778022509521323,0.68251650455411
100,0.42879413064125355,0.06629560036274697
101,0.9064676113869008,0.6053436306753883
102,0.29522870735347206,0.6024485759766284
103,0.03062195133266676,0.13657870492292867
104,0.019155092470250844,0.31028630082273584
105,0.1329930743820005,0.4840836998105889
106,0.08980300028074181,0.1738350169146474
107,0.30420665688438525,0.6749814384563334
108,0.12866214836760947,0.0862759004854942
109,0.051987225701713366,0.41560480360813146
110,0.8190219039744073,0.6804507724546531
111,0.025174401892001024,0.17591593205903197
112,0.6383449677234841,0.778440682041673
113,0.0409232623325312,0.6286872332534974
114,0.127858550416725,0.4990098847889879
115,0.14771804405009242,0.7703509499436264
116,0.13501681854551928,0.5069739350310007
117,0.17837036833805478,0.4481318589919991
118,0.09287533777183796,0.45760281669981495
119,0.08921848660712967,0.44825215189745676
120,0.028554653826960916,0.1848561007579389
121,0.06035996784793812,0.30964571406528213
122,0.7797143785791091,0.9433585804417459
123,0.5823200594433309,0.8224704920433047
124,0.12567822679640775,0.22490703434213738
125,0.12086509143910423,0.48096312786906587
126,0.09157008912873245,0.5701459692612668
127,0.29940645251376785,0.6778789228294246
128,0.17131352425690058,0.8807087024664714
129,0.09454268625112681,0.5983937401692997
130,0.22657918917612907,0.5039744160667085
131,0.15404627295410958,0.417434252677857
132,0.2750619778050671,0.20475236849723102
133,0.07341568821609355,0.8672722211175032
134,0.20744862552444174,0.7137487473810161
135,0.12961280718338353,0.87918524858786
136,0.7376571882122767,0.9058734789134827
137,0.13909504251455498,0.47860169368504685
138,0.1704228289910228,0.6623271047588677
139,0.031675535967605604,0.022223440723750515
140,0.2533520271662414,0.8037155761926702
141,0.1269811372373009,0.34155433359785187
142,0.05018838559739974,0.41337190270304647
143,0.07518851830006205,0.4169684834472218
